Rk,Team,Date▲,PTS,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
1,BOS,2011-04-22,113,@,NYK,W 113-96,240,42,83,.506,28,59,.475,14,24,.583,15,17,.882,113,33,76,.434,24,56,.429,9,20,.450,21,28,.750,96
2,BOS,2011-04-24,101,@,NYK,W 101-89,240,40,81,.494,37,69,.536,3,12,.250,18,24,.750,101,30,88,.341,22,61,.361,8,27,.296,21,28,.750,89
3,BOS,2011-05-01,90,@,MIA,L 90-99,240,32,75,.427,20,51,.392,12,24,.500,14,18,.778,90,32,68,.471,23,49,.469,9,19,.474,26,32,.813,99
4,BOS,2011-05-03,91,@,MIA,L 91-102,240,34,79,.430,28,68,.412,6,11,.545,17,22,.773,91,34,75,.453,27,59,.458,7,16,.438,27,36,.750,102
5,BOS,2011-05-11,87,@,MIA,L 87-97,240,33,67,.493,26,52,.500,7,15,.467,14,20,.700,87,32,69,.464,25,50,.500,7,19,.368,26,38,.684,97
6,BOS,2012-04-29,74,@,ATL,L 74-83,240,32,82,.390,32,71,.451,0,11,.000,10,13,.769,74,31,76,.408,24,56,.429,7,20,.350,14,21,.667,83
7,BOS,2012-05-01,87,@,ATL,W 87-80,240,29,68,.426,26,54,.481,3,14,.214,26,31,.839,87,29,83,.349,23,61,.377,6,22,.273,16,20,.800,80
8,BOS,2012-05-08,86,@,ATL,L 86-87,240,34,77,.442,28,63,.444,6,14,.429,12,15,.800,86,34,73,.466,27,57,.474,7,16,.438,12,14,.857,87
9,BOS,2012-05-16,107,@,PHI,W 107-91,240,40,77,.519,35,66,.530,5,11,.455,22,28,.786,107,33,81,.407,25,66,.379,8,15,.533,17,22,.773,91
10,BOS,2012-05-18,83,@,PHI,L 83-92,240,30,71,.423,23,48,.479,7,23,.304,16,19,.842,83,31,82,.378,26,71,.366,5,11,.455,25,36,.694,92
11,BOS,2012-05-23,75,@,PHI,L 75-82,240,26,78,.333,23,64,.359,3,14,.214,20,23,.870,75,32,70,.457,31,61,.508,1,9,.111,17,28,.607,82
12,BOS,2012-05-28,79,@,MIA,L 79-93,240,32,81,.395,28,67,.418,4,14,.286,11,21,.524,79,36,72,.500,31,47,.660,5,25,.200,16,23,.696,93
13,BOS,2012-05-30,111,@,MIA,L 111-115 (OT),265,40,81,.494,35,65,.538,5,16,.313,26,29,.897,111,37,83,.446,27,57,.474,10,26,.385,31,47,.660,115
