Rk,Team,Date▲,AST,,Opp,Result,MP,AST,STL,BLK,TOV,PF,AST,STL,BLK,TOV,PF
1,BOS,2011-04-22,31,@,NYK,W 113-96,240,31,12,4,20,24,18,9,7,18,16
2,BOS,2011-04-24,24,@,NYK,W 101-89,240,24,6,6,15,23,19,4,6,14,25
3,BOS,2011-05-01,18,@,MIA,L 90-99,240,18,7,3,13,24,17,7,8,16,21
4,BOS,2011-05-03,18,@,MIA,L 91-102,240,18,7,2,11,24,15,6,9,10,22
5,BOS,2011-05-11,15,@,MIA,L 87-97,240,15,5,5,17,25,13,7,3,9,19
6,BOS,2012-04-29,21,@,ATL,L 74-83,240,21,9,3,6,24,16,3,1,13,18
7,BOS,2012-05-01,14,@,ATL,W 87-80,240,14,6,6,14,24,14,7,5,11,26
8,BOS,2012-05-08,23,@,ATL,L 86-87,240,23,11,3,14,13,20,6,6,18,19
9,BOS,2012-05-16,26,@,PHI,W 107-91,240,26,6,6,7,19,22,3,7,9,20
10,BOS,2012-05-18,23,@,PHI,L 83-92,240,23,7,6,17,28,18,9,2,11,19
11,BOS,2012-05-23,14,@,PHI,L 75-82,240,14,5,2,16,25,22,7,6,12,16
12,BOS,2012-05-28,19,@,MIA,L 79-93,240,19,6,1,8,19,17,4,11,12,21
13,BOS,2012-05-30,15,@,MIA,L 111-115 (OT),265,15,5,2,8,33,24,7,5,8,18
14,BOS,2012-06-05,19,@,MIA,W 94-90,240,19,13,4,12,21,13,6,3,15,21
15,BOS,2012-06-09,19,@,MIA,L 88-101,240,19,10,2,13,24,16,8,3,13,14
16,BOS,2013-04-20,18,@,NYK,L 78-85,240,18,5,5,20,17,13,15,4,13,23
17,BOS,2013-04-23,14,@,NYK,L 71-87,240,14,3,4,11,20,14,5,6,10,17
18,BOS,2013-05-01,20,@,NYK,W 92-86,240,20,3,3,15,16,13,8,1,8,19
19,BOS,2015-04-19,24,@,CLE,L 100-113,240,24,7,4,14,29,19,6,5,12,23
20,BOS,2015-04-21,19,@,CLE,L 91-99,240,19,6,3,11,22,18,7,10,18,22
21,BOS,2016-04-16,27,@,ATL,L 101-102,240,27,6,6,10,32,23,4,9,11,20
22,BOS,2016-04-19,16,@,ATL,L 72-89,240,16,5,10,14,15,20,7,15,15,16
23,BOS,2016-04-26,19,@,ATL,L 83-110,240,19,5,6,20,17,30,13,3,12,17
24,BOS,2017-04-21,34,@,CHI,W 104-87,240,34,11,2,12,12,14,7,8,17,15
25,BOS,2017-04-23,22,@,CHI,W 104-95,240,22,7,4,13,24,19,5,3,12,23
26,BOS,2017-04-28,28,@,CHI,W 105-83,240,28,7,5,9,14,13,5,2,13,16
27,BOS,2017-05-04,20,@,WAS,L 89-116,240,20,4,2,16,26,26,7,5,9,26
28,BOS,2017-05-07,28,@,WAS,L 102-121,240,28,13,6,18,25,29,13,3,19,22
29,BOS,2017-05-12,25,@,WAS,L 91-92,240,25,5,3,10,19,20,4,7,12,24
30,BOS,2017-05-21,28,@,CLE,W 111-108,240,28,10,3,9,23,21,5,4,15,11
31,BOS,2017-05-23,26,@,CLE,L 99-112,240,26,7,2,12,15,23,5,4,14,16
32,BOS,2018-04-20,17,@,MIL,L 92-116,240,17,3,1,16,15,28,8,12,9,27
33,BOS,2018-04-22,22,@,MIL,L 102-104,240,22,6,3,8,21,24,7,14,9,24
34,BOS,2018-04-26,18,@,MIL,L 86-97,240,18,3,3,9,19,19,6,3,9,16
35,BOS,2018-05-05,19,@,PHI,W 101-98 (OT),265,19,9,7,13,20,23,8,5,14,14
36,BOS,2018-05-07,16,@,PHI,L 92-103,240,16,4,10,15,28,24,6,3,8,23
37,BOS,2018-05-19,16,@,CLE,L 86-116,240,16,4,4,15,25,23,9,3,14,23
38,BOS,2018-05-21,21,@,CLE,L 102-111,240,21,9,3,9,26,15,6,8,18,23
39,BOS,2018-05-25,25,@,CLE,L 99-109,240,25,5,2,13,18,16,8,9,9,19
40,BOS,2019-04-19,23,@,IND,W 104-96,240,23,4,4,13,19,20,9,4,9,19
41,BOS,2019-04-21,18,@,IND,W 110-106,240,18,7,1,16,23,18,5,2,12,25
42,BOS,2019-04-28,25,@,MIL,W 112-90,240,25,5,11,11,21,19,6,2,10,11
43,BOS,2019-04-30,19,@,MIL,L 102-123,240,19,5,2,13,23,22,6,4,11,24
44,BOS,2019-05-08,19,@,MIL,L 91-116,240,19,9,1,14,18,27,8,7,16,23
45,BOS,2020-08-21,15,@,PHI,W 102-94,240,15,7,8,10,23,14,6,7,12,19
46,BOS,2020-08-23,19,@,PHI,W 110-106,240,19,4,5,14,25,12,7,5,8,25
47,BOS,2020-08-30,25,@,TOR,W 112-94,240,25,8,4,22,22,22,10,2,14,24
48,BOS,2020-09-01,18,@,TOR,W 102-99,240,18,6,9,17,20,25,10,7,12,19
49,BOS,2020-09-07,23,@,TOR,W 111-89,240,23,5,6,11,19,19,8,5,13,24
50,BOS,2020-09-11,19,@,TOR,W 92-87,240,19,12,5,10,16,17,1,6,18,23
51,BOS,2020-09-19,27,@,MIA,W 117-106,240,27,8,3,14,29,21,5,8,13,24
52,BOS,2020-09-23,28,@,MIA,L 109-112,240,28,3,5,19,24,20,9,2,8,20
53,BOS,2020-09-27,26,@,MIA,L 113-125,240,26,7,2,10,21,30,6,2,12,13
54,BOS,2021-05-22,19,@,BRK,L 93-104,240,19,6,12,12,18,18,7,7,11,22
55,BOS,2021-05-25,23,@,BRK,L 108-130,240,23,10,4,15,20,31,7,7,14,23
56,BOS,2021-06-01,18,@,BRK,L 109-123,240,18,3,12,11,21,26,6,7,8,21
57,BOS,2022-04-23,26,@,BRK,W 109-103,240,26,13,3,14,19,25,7,5,18,22
58,BOS,2022-04-25,26,@,BRK,W 116-112,240,26,3,4,13,28,28,5,7,10,23
59,BOS,2022-05-07,23,@,MIL,L 101-103,240,23,5,13,12,21,20,8,4,10,27
60,BOS,2022-05-09,25,@,MIL,W 116-108,240,25,2,4,11,25,18,6,3,7,17
