Rk,Team,Date▲,PTS,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
1,BOS,2011-04-17,87,,NYK,W 87-85,240,35,80,.438,30,67,.448,5,13,.385,12,18,.667,87,33,78,.423,25,55,.455,8,23,.348,11,16,.688,85
2,BOS,2011-04-19,96,,NYK,W 96-93,240,39,83,.470,33,72,.458,6,11,.545,12,16,.750,96,32,90,.356,24,65,.369,8,25,.320,21,27,.778,93
3,BOS,2011-05-07,97,,MIA,W 97-81,240,37,74,.500,28,56,.500,9,18,.500,14,17,.824,97,31,73,.425,26,50,.520,5,23,.217,14,19,.737,81
4,BOS,2011-05-09,90,,MIA,L 90-98 (OT),265,30,70,.429,25,54,.463,5,16,.313,25,29,.862,90,35,79,.443,32,66,.485,3,13,.231,25,28,.893,98
5,BOS,2012-05-04,90,,ATL,W 90-84 (OT),265,32,79,.405,28,66,.424,4,13,.308,22,25,.880,90,34,90,.378,30,70,.429,4,20,.200,12,15,.800,84
6,BOS,2012-05-06,101,,ATL,W 101-79,240,41,80,.513,30,54,.556,11,26,.423,8,13,.615,101,31,76,.408,27,56,.482,4,20,.200,13,17,.765,79
7,BOS,2012-05-10,83,,ATL,W 83-80,240,31,74,.419,29,64,.453,2,10,.200,19,24,.792,83,32,78,.410,25,63,.397,7,15,.467,9,10,.900,80
8,BOS,2012-05-12,92,,PHI,W 92-91,240,36,82,.439,34,64,.531,2,18,.111,18,19,.947,92,36,82,.439,31,68,.456,5,14,.357,14,20,.700,91
9,BOS,2012-05-14,81,,PHI,L 81-82,240,33,79,.418,25,61,.410,8,18,.444,7,9,.778,81,31,76,.408,26,62,.419,5,14,.357,15,21,.714,82
10,BOS,2012-05-21,101,,PHI,W 101-85,240,36,69,.522,33,54,.611,3,15,.200,26,33,.788,101,36,77,.468,33,68,.485,3,9,.333,10,16,.625,85
11,BOS,2012-05-26,85,,PHI,W 85-75,240,31,73,.425,28,56,.500,3,17,.176,20,22,.909,85,28,80,.350,23,62,.371,5,18,.278,14,20,.700,75
12,BOS,2012-06-01,101,,MIA,W 101-91,240,38,76,.500,33,59,.559,5,17,.294,20,26,.769,101,38,77,.494,33,60,.550,5,17,.294,10,20,.500,91
13,BOS,2012-06-03,93,,MIA,W 93-91 (OT),265,35,85,.412,26,58,.448,9,27,.333,14,20,.700,93,34,80,.425,28,61,.459,6,19,.316,17,24,.708,91
14,BOS,2012-06-07,79,,MIA,L 79-98,240,32,75,.427,31,61,.508,1,14,.071,14,20,.700,79,37,76,.487,30,60,.500,7,16,.438,17,22,.773,98
15,BOS,2013-04-26,76,,NYK,L 76-90,240,28,70,.400,22,51,.431,6,19,.316,14,18,.778,76,38,76,.500,27,49,.551,11,27,.407,3,8,.375,90
16,BOS,2013-04-28,97,,NYK,W 97-90 (OT),265,34,76,.447,26,54,.481,8,22,.364,21,24,.875,97,31,90,.344,24,60,.400,7,30,.233,21,28,.750,90
17,BOS,2013-05-03,80,,NYK,L 80-88,240,24,63,.381,18,41,.439,6,22,.273,26,33,.788,80,33,79,.418,24,58,.414,9,21,.429,13,16,.813,88
18,BOS,2015-04-23,95,,CLE,L 95-103,240,36,82,.439,31,63,.492,5,19,.263,18,21,.857,95,38,84,.452,26,55,.473,12,29,.414,15,24,.625,103
19,BOS,2015-04-26,93,,CLE,L 93-101,240,33,85,.388,30,62,.484,3,23,.130,24,37,.649,93,31,78,.397,24,45,.533,7,33,.212,32,43,.744,101
20,BOS,2016-04-22,111,,ATL,W 111-103,240,38,82,.463,27,50,.540,11,32,.344,24,33,.727,111,38,86,.442,29,50,.580,9,36,.250,18,21,.857,103
21,BOS,2016-04-24,104,,ATL,W 104-95 (OT),265,40,94,.426,29,61,.475,11,33,.333,13,19,.684,104,37,99,.374,25,57,.439,12,42,.286,9,13,.692,95
22,BOS,2016-04-28,92,,ATL,L 92-104,240,34,94,.362,27,62,.435,7,32,.219,17,18,.944,92,38,74,.514,30,50,.600,8,24,.333,20,27,.741,104
23,BOS,2017-04-16,102,,CHI,L 102-106,240,37,86,.430,23,48,.479,14,38,.368,14,19,.737,102,39,91,.429,31,65,.477,8,26,.308,20,23,.870,106
24,BOS,2017-04-18,97,,CHI,L 97-111,240,38,82,.463,28,49,.571,10,33,.303,11,19,.579,97,45,89,.506,35,64,.547,10,25,.400,11,14,.786,111
25,BOS,2017-04-26,108,,CHI,W 108-97,240,38,88,.432,29,48,.604,9,40,.225,23,23,1.000,108,37,74,.500,28,48,.583,9,26,.346,14,17,.824,97
26,BOS,2017-04-30,123,,WAS,W 123-111,240,46,90,.511,27,51,.529,19,39,.487,12,15,.800,123,44,87,.506,34,64,.531,10,23,.435,13,22,.591,111
27,BOS,2017-05-02,129,,WAS,W 129-119 (OT),265,45,88,.511,32,52,.615,13,36,.361,26,34,.765,129,46,99,.465,36,65,.554,10,34,.294,17,22,.773,119
28,BOS,2017-05-10,123,,WAS,W 123-101,240,46,87,.529,30,54,.556,16,33,.485,15,21,.714,123,35,91,.385,28,62,.452,7,29,.241,24,29,.828,101
29,BOS,2017-05-15,115,,WAS,W 115-105,240,42,79,.532,31,55,.564,11,24,.458,20,25,.800,115,36,80,.450,26,51,.510,10,29,.345,23,29,.793,105
30,BOS,2017-05-17,104,,CLE,L 104-117,240,41,88,.466,29,50,.580,12,38,.316,10,18,.556,104,39,81,.481,28,50,.560,11,31,.355,28,35,.800,117
31,BOS,2017-05-19,86,,CLE,L 86-130,240,32,86,.372,24,59,.407,8,27,.296,14,15,.933,86,48,85,.565,29,46,.630,19,39,.487,15,23,.652,130
32,BOS,2017-05-25,102,,CLE,L 102-135,240,37,86,.430,26,56,.464,11,30,.367,17,23,.739,102,48,85,.565,29,44,.659,19,41,.463,20,24,.833,135
33,BOS,2018-04-15,113,,MIL,W 113-107 (OT),265,39,94,.415,28,68,.412,11,26,.423,24,27,.889,113,40,83,.482,32,62,.516,8,21,.381,19,24,.792,107
34,BOS,2018-04-17,120,,MIL,W 120-106,240,48,90,.533,35,59,.593,13,31,.419,11,18,.611,120,46,77,.597,39,60,.650,7,17,.412,7,17,.412,106
35,BOS,2018-04-24,92,,MIL,W 92-87,240,29,69,.420,19,38,.500,10,31,.323,24,32,.750,92,32,87,.368,23,54,.426,9,33,.273,14,20,.700,87
36,BOS,2018-04-28,112,,MIL,W 112-96,240,45,84,.536,36,58,.621,9,26,.346,13,21,.619,112,35,74,.473,26,47,.553,9,27,.333,17,18,.944,96
37,BOS,2018-04-30,117,,PHI,W 117-101,240,41,85,.482,24,50,.480,17,35,.486,18,19,.947,117,35,83,.422,30,57,.526,5,26,.192,26,35,.743,101
38,BOS,2018-05-03,108,,PHI,W 108-103,240,37,82,.451,22,46,.478,15,36,.417,19,24,.792,108,40,92,.435,27,59,.458,13,33,.394,10,14,.714,103
39,BOS,2018-05-09,114,,PHI,W 114-112,240,38,85,.447,31,65,.477,7,20,.350,31,41,.756,114,40,82,.488,32,61,.525,8,21,.381,24,31,.774,112
40,BOS,2018-05-13,108,,CLE,W 108-83,240,43,84,.512,32,54,.593,11,30,.367,11,13,.846,108,31,86,.360,27,60,.450,4,26,.154,17,20,.850,83
41,BOS,2018-05-15,107,,CLE,W 107-94,240,40,92,.435,30,61,.492,10,31,.323,17,20,.850,107,37,80,.463,27,49,.551,10,31,.323,10,17,.588,94
42,BOS,2018-05-23,96,,CLE,W 96-83,240,31,85,.365,18,46,.391,13,39,.333,21,23,.913,96,31,74,.419,22,40,.550,9,34,.265,12,19,.632,83
43,BOS,2018-05-27,79,,CLE,L 79-87,240,29,85,.341,22,46,.478,7,39,.179,14,19,.737,79,30,66,.455,21,31,.677,9,35,.257,18,25,.720,87
44,BOS,2019-04-14,84,,IND,W 84-74,240,28,77,.364,18,49,.367,10,28,.357,18,22,.818,84,28,84,.333,22,57,.386,6,27,.222,12,21,.571,74
45,BOS,2019-04-17,99,,IND,W 99-91,240,40,84,.476,29,56,.518,11,28,.393,8,9,.889,99,36,81,.444,23,47,.489,13,34,.382,6,10,.600,91
46,BOS,2019-05-03,116,,MIL,L 116-123,240,35,81,.432,19,41,.463,16,40,.400,30,32,.938,116,42,83,.506,27,46,.587,15,37,.405,24,36,.667,123
47,BOS,2019-05-06,101,,MIL,L 101-113,240,34,90,.378,25,49,.510,9,41,.220,24,30,.800,101,44,100,.440,36,63,.571,8,37,.216,17,25,.680,113
48,BOS,2020-08-17,109,,PHI,W 109-101,240,38,90,.422,28,59,.475,10,31,.323,23,26,.885,109,37,80,.463,28,53,.528,9,27,.333,18,23,.783,101
49,BOS,2020-08-19,128,,PHI,W 128-101,240,44,86,.512,25,43,.581,19,43,.442,21,29,.724,128,33,79,.418,28,58,.483,5,21,.238,30,37,.811,101
50,BOS,2020-09-03,103,,TOR,L 103-104,240,39,83,.470,30,54,.556,9,29,.310,16,21,.762,103,41,88,.466,28,48,.583,13,40,.325,9,16,.563,104
51,BOS,2020-09-05,93,,TOR,L 93-100,240,33,75,.440,26,40,.650,7,35,.200,20,27,.741,93,34,86,.395,17,42,.405,17,44,.386,15,19,.789,100
52,BOS,2020-09-09,122,,TOR,L 122-125 (2OT),290,44,100,.440,25,54,.463,19,46,.413,15,18,.833,122,44,101,.436,25,54,.463,19,47,.404,18,25,.720,125
53,BOS,2020-09-15,114,,MIA,L 114-117 (OT),265,39,88,.443,24,46,.522,15,42,.357,21,23,.913,114,40,85,.471,24,49,.490,16,36,.444,21,28,.750,117
54,BOS,2020-09-17,101,,MIA,L 101-106,240,36,72,.500,26,44,.591,10,28,.357,19,24,.792,101,40,90,.444,26,47,.553,14,43,.326,12,14,.857,106
55,BOS,2020-09-25,121,,MIA,W 121-108,240,42,93,.452,30,55,.545,12,38,.316,25,29,.862,121,39,86,.453,32,50,.640,7,36,.194,23,29,.793,108
56,BOS,2021-05-28,125,,BRK,W 125-119,240,45,89,.506,29,50,.580,16,39,.410,19,23,.826,125,38,84,.452,22,46,.478,16,38,.421,27,31,.871,119
