Rk,Team,Date▲,AST,,Opp,Result,MP,AST,STL,BLK,TOV,PF,AST,STL,BLK,TOV,PF
1,BOS,2011-04-17,20,,NYK,W 87-85,240,20,5,5,16,15,16,5,9,14,17
2,BOS,2011-04-19,21,,NYK,W 96-93,240,21,8,5,10,22,14,8,5,12,17
3,BOS,2011-05-07,27,,MIA,W 97-81,240,27,7,4,12,17,20,9,9,14,16
4,BOS,2011-05-09,15,,MIA,L 90-98 (OT),265,15,9,4,16,23,10,10,2,17,24
5,BOS,2012-05-04,18,,ATL,W 90-84 (OT),265,18,10,8,13,18,15,8,4,17,21
6,BOS,2012-05-06,24,,ATL,W 101-79,240,24,10,6,11,20,18,3,0,17,15
7,BOS,2012-05-10,19,,ATL,W 83-80,240,19,8,11,12,14,22,6,4,13,20
8,BOS,2012-05-12,28,,PHI,W 92-91,240,28,7,7,13,16,19,9,8,11,15
9,BOS,2012-05-14,23,,PHI,L 81-82,240,23,11,6,17,22,17,10,6,16,13
10,BOS,2012-05-21,22,,PHI,W 101-85,240,22,11,5,10,18,20,7,1,15,24
11,BOS,2012-05-26,17,,PHI,W 85-75,240,17,10,6,14,22,15,9,1,15,23
12,BOS,2012-06-01,16,,MIA,W 101-91,240,16,4,4,12,24,20,5,5,10,24
13,BOS,2012-06-03,22,,MIA,W 93-91 (OT),265,22,6,7,15,30,20,6,6,17,28
14,BOS,2012-06-07,14,,MIA,L 79-98,240,14,9,3,13,19,15,8,4,12,21
15,BOS,2013-04-26,14,,NYK,L 76-90,240,14,6,1,17,14,22,14,4,11,19
16,BOS,2013-04-28,22,,NYK,W 97-90 (OT),265,22,7,4,16,26,10,10,3,15,27
17,BOS,2013-05-03,13,,NYK,L 80-88,240,13,9,1,19,20,18,10,8,16,23
18,BOS,2015-04-23,20,,CLE,L 95-103,240,20,6,5,15,23,17,9,7,11,18
19,BOS,2015-04-26,17,,CLE,L 93-101,240,17,2,3,14,33,13,9,9,8,30
20,BOS,2016-04-22,23,,ATL,W 111-103,240,23,10,6,15,20,19,10,7,13,24
21,BOS,2016-04-24,25,,ATL,W 104-95 (OT),265,25,7,7,14,19,18,8,6,14,20
22,BOS,2016-04-28,16,,ATL,L 92-104,240,16,5,4,12,29,26,6,12,18,23
23,BOS,2017-04-16,27,,CHI,L 102-106,240,27,9,4,15,20,22,10,7,16,18
24,BOS,2017-04-18,26,,CHI,L 97-111,240,26,6,4,16,17,28,12,6,10,17
25,BOS,2017-04-26,27,,CHI,W 108-97,240,27,9,3,6,16,24,4,5,16,21
26,BOS,2017-04-30,32,,WAS,W 123-111,240,32,8,7,11,25,27,6,7,12,14
27,BOS,2017-05-02,26,,WAS,W 129-119 (OT),265,26,11,7,16,21,28,7,10,17,29
28,BOS,2017-05-10,33,,WAS,W 123-101,240,33,7,8,11,25,21,5,5,12,18
29,BOS,2017-05-15,27,,WAS,W 115-105,240,27,7,4,8,24,18,6,4,15,17
30,BOS,2017-05-17,33,,CLE,L 104-117,240,33,4,1,14,26,21,9,2,8,17
31,BOS,2017-05-19,23,,CLE,L 86-130,240,23,7,4,20,19,28,10,6,12,17
32,BOS,2017-05-25,20,,CLE,L 102-135,240,20,7,5,18,23,24,13,5,11,21
33,BOS,2018-04-15,20,,MIL,W 113-107 (OT),265,20,8,5,15,21,22,8,8,20,31
34,BOS,2018-04-17,24,,MIL,W 120-106,240,24,10,6,5,16,19,3,4,15,19
35,BOS,2018-04-24,22,,MIL,W 92-87,240,22,7,7,17,21,21,10,3,11,23
36,BOS,2018-04-28,28,,MIL,W 112-96,240,28,9,4,14,23,21,4,3,15,20
37,BOS,2018-04-30,27,,PHI,W 117-101,240,27,4,4,10,21,22,7,2,12,19
38,BOS,2018-05-03,23,,PHI,W 108-103,240,23,7,3,9,16,30,7,4,11,21
39,BOS,2018-05-09,18,,PHI,W 114-112,240,18,12,3,10,24,26,5,6,16,31
