Rk,Team,Date▲,PTS,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
1,LAL,2011-04-22,100,@,NOH,W 100-86,240,37,76,.487,30,60,.500,7,16,.438,19,24,.792,100,33,72,.458,31,59,.525,2,13,.154,18,24,.750,86
2,LAL,2011-04-24,88,@,NOH,L 88-93,240,31,72,.431,27,54,.500,4,18,.222,22,30,.733,88,33,74,.446,29,60,.483,4,14,.286,23,27,.852,93
3,LAL,2011-04-28,98,@,NOH,W 98-80,240,34,74,.459,29,60,.483,5,14,.357,25,26,.962,98,30,70,.429,27,56,.482,3,14,.214,17,18,.944,80
4,LAL,2011-05-06,92,@,DAL,L 92-98,240,39,82,.476,36,69,.522,3,13,.231,11,14,.786,92,31,67,.463,19,38,.500,12,29,.414,24,29,.828,98
5,LAL,2011-05-08,86,@,DAL,L 86-122,240,31,82,.378,26,58,.448,5,24,.208,19,26,.731,86,44,73,.603,24,41,.585,20,32,.625,14,19,.737,122
6,LAL,2012-05-04,84,@,DEN,L 84-99,240,29,78,.372,23,53,.434,6,25,.240,20,25,.800,84,37,93,.398,31,77,.403,6,16,.375,19,23,.826,99
7,LAL,2012-05-06,92,@,DEN,W 92-88,240,39,86,.453,34,69,.493,5,17,.294,9,18,.500,92,39,86,.453,36,67,.537,3,19,.158,7,12,.583,88
8,LAL,2012-05-10,96,@,DEN,L 96-113,240,35,83,.422,31,69,.449,4,14,.286,22,30,.733,96,47,91,.516,37,71,.521,10,20,.500,9,17,.529,113
9,LAL,2012-05-14,90,@,OKC,L 90-119,240,35,81,.432,28,65,.431,7,16,.438,13,15,.867,90,44,83,.530,37,66,.561,7,17,.412,24,29,.828,119
10,LAL,2012-05-16,75,@,OKC,L 75-77,240,30,78,.385,28,63,.444,2,15,.133,13,14,.929,75,29,69,.420,23,52,.442,6,17,.353,13,16,.813,77
11,LAL,2012-05-21,90,@,OKC,L 90-106,240,34,75,.453,32,64,.500,2,11,.182,20,26,.769,90,42,90,.467,39,77,.506,3,13,.231,19,25,.760,106
