Rk,Team,Date▲,AST,,Opp,Result,MP,AST,STL,BLK,TOV,PF,AST,STL,BLK,TOV,PF
1,LAL,2011-04-22,17,@,NOH,W 100-86,240,17,8,3,13,23,17,7,4,14,25
2,LAL,2011-04-24,17,@,NOH,L 88-93,240,17,6,6,9,22,25,6,3,10,25
3,LAL,2011-04-28,23,@,NOH,W 98-80,240,23,7,6,12,18,20,7,2,14,23
4,LAL,2011-05-06,19,@,DAL,L 92-98,240,19,6,1,10,26,22,4,5,12,18
5,LAL,2011-05-08,16,@,DAL,L 86-122,240,16,11,2,16,21,32,11,2,19,23
6,LAL,2012-05-04,21,@,DEN,L 84-99,240,21,1,10,15,19,23,9,5,6,25
7,LAL,2012-05-06,22,@,DEN,W 92-88,240,22,4,7,13,13,17,9,9,10,19
8,LAL,2012-05-10,23,@,DEN,L 96-113,240,23,6,7,11,17,26,6,8,11,22
9,LAL,2012-05-14,14,@,OKC,L 90-119,240,14,1,3,15,20,20,13,8,4,19
10,LAL,2012-05-16,11,@,OKC,L 75-77,240,11,9,2,12,20,15,7,8,13,19
11,LAL,2012-05-21,12,@,OKC,L 90-106,240,12,6,6,12,24,20,7,6,11,22
12,LAL,2013-04-21,15,@,SAS,L 79-91,240,15,8,4,18,20,20,12,3,9,21
13,LAL,2013-04-24,18,@,SAS,L 91-102,240,18,5,9,13,20,21,7,7,8,17
14,LAL,2020-08-22,26,@,POR,W 116-108,240,26,6,8,17,21,17,7,4,11,25
15,LAL,2020-08-24,29,@,POR,W 135-115,240,29,7,9,14,28,20,9,2,17,27
16,LAL,2020-09-08,25,@,HOU,W 112-102,240,25,6,6,13,15,23,8,1,9,18
17,LAL,2020-09-10,30,@,HOU,W 110-100,240,30,9,4,16,27,24,10,6,16,21
18,LAL,2020-09-22,27,@,DEN,L 106-114,240,27,11,3,16,26,26,8,2,18,21
19,LAL,2020-09-24,23,@,DEN,W 114-108,240,23,9,2,9,25,22,4,3,11,28
20,LAL,2020-10-04,23,@,MIA,L 104-115,240,23,8,2,19,22,25,8,3,12,23
21,LAL,2020-10-06,25,@,MIA,W 102-96,240,25,5,4,15,14,18,8,3,11,21
22,LAL,2020-10-11,23,@,MIA,W 106-93,240,23,5,4,12,22,25,4,4,13,18
23,LAL,2021-05-23,19,@,PHO,L 90-99,240,19,10,5,14,18,24,7,4,14,20
24,LAL,2021-05-25,24,@,PHO,W 109-102,240,24,9,6,7,23,21,4,3,13,23
25,LAL,2021-06-01,14,@,PHO,L 85-115,240,14,3,1,16,25,29,7,4,4,22
26,LAL,2023-04-16,25,@,MEM,W 128-112,240,25,7,11,14,18,24,6,2,12,19
27,LAL,2023-04-19,21,@,MEM,L 93-103,240,21,5,7,12,19,24,4,6,10,20
28,LAL,2023-04-26,28,@,MEM,L 99-116,240,28,8,3,13,17,24,6,2,11,19
29,LAL,2023-05-02,24,@,GSW,W 117-112,240,24,4,10,8,12,30,5,3,8,24
30,LAL,2023-05-04,27,@,GSW,L 100-127,240,27,9,3,9,15,38,2,3,15,23
31,LAL,2023-05-10,24,@,GSW,L 106-121,240,24,6,4,14,17,29,8,5,14,18
32,LAL,2023-05-16,30,@,DEN,L 126-132,240,30,6,4,7,21,29,5,7,11,21
33,LAL,2023-05-18,26,@,DEN,L 103-108,240,26,10,7,12,19,27,8,2,15,18
34,LAL,2024-04-20,22,@,DEN,L 103-114,240,22,3,7,12,15,27,7,4,4,20
35,LAL,2024-04-22,24,@,DEN,L 99-101,240,24,6,3,14,20,26,6,4,9,17
36,LAL,2024-04-29,30,@,DEN,L 106-108,240,30,7,6,8,12,28,6,1,13,16
