Rk,Team,Date▲,PTS,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
1,LAL,2011-04-17,100,,NOH,L 100-109,240,34,74,.459,28,61,.459,6,13,.462,26,33,.788,100,41,79,.519,37,68,.544,4,11,.364,23,33,.697,109
2,LAL,2011-04-20,87,,NOH,W 87-78,240,34,76,.447,30,65,.462,4,11,.364,15,22,.682,87,27,69,.391,23,58,.397,4,11,.364,20,32,.625,78
3,LAL,2011-04-26,106,,NOH,W 106-90,240,37,75,.493,30,57,.526,7,18,.389,25,30,.833,106,33,67,.493,23,46,.500,10,21,.476,14,21,.667,90
4,LAL,2011-05-02,94,,DAL,L 94-96,240,36,84,.429,31,65,.477,5,19,.263,17,20,.850,94,39,79,.494,30,59,.508,9,20,.450,9,11,.818,96
5,LAL,2011-05-04,81,,DAL,L 81-93,240,34,83,.410,32,63,.508,2,20,.100,11,20,.550,81,34,81,.420,26,56,.464,8,25,.320,17,21,.810,93
6,LAL,2012-04-29,103,,DEN,W 103-88,240,43,86,.500,37,69,.536,6,17,.353,11,15,.733,103,32,90,.356,28,76,.368,4,14,.286,20,27,.741,88
7,LAL,2012-05-01,104,,DEN,W 104-100,240,43,96,.448,41,81,.506,2,15,.133,16,21,.762,104,40,91,.440,36,72,.500,4,19,.211,16,22,.727,100
8,LAL,2012-05-08,99,,DEN,L 99-102,240,35,90,.389,26,66,.394,9,24,.375,20,26,.769,99,39,85,.459,36,66,.545,3,19,.158,21,27,.778,102
9,LAL,2012-05-12,96,,DEN,W 96-87,240,35,89,.393,24,65,.369,11,24,.458,15,23,.652,96,35,89,.393,28,63,.444,7,26,.269,10,14,.714,87
10,LAL,2012-05-18,99,,OKC,W 99-96,240,27,70,.386,23,59,.390,4,11,.364,41,42,.976,99,33,83,.398,29,66,.439,4,17,.235,26,28,.929,96
11,LAL,2012-05-19,100,,OKC,L 100-103,240,37,86,.430,32,68,.471,5,18,.278,21,29,.724,100,38,77,.494,32,61,.525,6,16,.375,21,25,.840,103
12,LAL,2013-04-26,89,,SAS,L 89-120,240,35,81,.432,31,61,.508,4,20,.200,15,25,.600,89,52,85,.612,47,69,.681,5,16,.313,11,15,.733,120
13,LAL,2013-04-28,82,,SAS,L 82-103,240,36,76,.474,31,59,.525,5,17,.294,5,12,.417,82,39,84,.464,34,68,.500,5,16,.313,20,23,.870,103
14,LAL,2020-08-18,93,,POR,L 93-100,240,34,97,.351,29,65,.446,5,32,.156,20,31,.645,93,31,79,.392,18,45,.400,13,34,.382,25,33,.758,100
15,LAL,2020-08-20,111,,POR,W 111-88,240,44,92,.478,30,54,.556,14,38,.368,9,10,.900,111,34,85,.400,26,56,.464,8,29,.276,12,16,.750,88
16,LAL,2020-08-29,131,,POR,W 131-122,240,48,88,.545,34,52,.654,14,36,.389,21,26,.808,131,44,93,.473,31,66,.470,13,27,.481,21,26,.808,122
17,LAL,2020-09-04,97,,HOU,L 97-112,240,35,83,.422,24,45,.533,11,38,.289,16,19,.842,97,39,81,.481,25,42,.595,14,39,.359,20,27,.741,112
18,LAL,2020-09-06,117,,HOU,W 117-109,240,47,83,.566,35,56,.625,12,27,.444,11,18,.611,117,35,78,.449,13,25,.520,22,53,.415,17,23,.739,109
19,LAL,2020-09-12,119,,HOU,W 119-96,240,39,74,.527,20,37,.541,19,37,.514,22,29,.759,119,33,89,.371,20,40,.500,13,49,.265,17,24,.708,96
