Rk,Team,Date▲,AST,,Opp,Result,MP,AST,STL,BLK,TOV,PF,AST,STL,BLK,TOV,PF
1,LAL,2011-04-17,17,,NOH,L 100-109,240,17,1,5,13,24,24,8,1,3,22
2,LAL,2011-04-20,20,,NOH,W 87-78,240,20,8,8,13,20,14,6,5,16,22
3,LAL,2011-04-26,21,,NOH,W 106-90,240,21,5,7,15,20,21,9,3,17,25
4,LAL,2011-05-02,21,,DAL,L 94-96,240,21,9,8,11,12,30,8,8,11,17
5,LAL,2011-05-04,18,,DAL,L 81-93,240,18,8,5,10,20,20,4,4,11,16
6,LAL,2012-04-29,22,,DEN,W 103-88,240,22,6,15,11,22,17,6,4,10,18
7,LAL,2012-05-01,20,,DEN,W 104-100,240,20,8,8,10,20,21,7,8,13,23
8,LAL,2012-05-08,20,,DEN,L 99-102,240,20,6,5,9,20,19,7,5,7,19
9,LAL,2012-05-12,22,,DEN,W 96-87,240,22,10,14,11,20,23,5,9,18,21
10,LAL,2012-05-18,20,,OKC,W 99-96,240,20,7,9,15,22,13,11,9,9,30
11,LAL,2012-05-19,19,,OKC,L 100-103,240,19,5,7,8,19,16,6,10,7,23
12,LAL,2013-04-26,19,,SAS,L 89-120,240,19,8,3,13,15,30,9,7,14,20
13,LAL,2013-04-28,22,,SAS,L 82-103,240,22,2,5,21,15,24,13,3,8,14
14,LAL,2020-08-18,22,,POR,L 93-100,240,22,11,4,9,23,18,3,8,16,28
15,LAL,2020-08-20,26,,POR,W 111-88,240,26,9,3,14,22,14,6,3,17,17
16,LAL,2020-08-29,27,,POR,W 131-122,240,27,11,5,17,20,20,12,1,19,28
17,LAL,2020-09-04,18,,HOU,L 97-112,240,18,8,9,15,20,19,13,3,14,19
18,LAL,2020-09-06,30,,HOU,W 117-109,240,30,11,5,15,17,22,7,2,17,21
19,LAL,2020-09-12,25,,HOU,W 119-96,240,25,5,7,19,24,18,6,3,12,26
20,LAL,2020-09-18,33,,DEN,W 126-114,240,33,10,6,11,28,23,3,2,16,26
21,LAL,2020-09-20,23,,DEN,W 105-103,240,23,9,7,23,30,22,12,4,19,22
22,LAL,2020-09-26,24,,DEN,W 117-107,240,24,6,8,13,26,23,5,2,11,25
23,LAL,2020-09-30,26,,MIA,W 116-98,240,26,7,8,12,19,23,4,5,8,15
24,LAL,2020-10-02,32,,MIA,W 124-114,240,32,6,3,9,26,29,2,1,9,23
25,LAL,2020-10-09,21,,MIA,L 108-111,240,21,10,5,15,21,26,7,3,13,19
26,LAL,2021-05-27,19,,PHO,W 109-95,240,19,10,4,20,19,24,8,6,17,24
27,LAL,2021-05-30,19,,PHO,L 92-100,240,19,3,5,15,18,24,12,4,10,20
28,LAL,2021-06-03,21,,PHO,L 100-113,240,21,5,3,7,20,24,5,9,12,17
29,LAL,2023-04-22,19,,MEM,W 111-101,240,19,11,8,13,18,23,7,2,18,22
30,LAL,2023-04-24,22,,MEM,W 117-111 (OT),265,22,5,11,15,17,26,7,7,13,26
31,LAL,2023-04-28,33,,MEM,W 125-85,240,33,6,15,13,16,19,10,2,14,17
32,LAL,2023-05-06,27,,GSW,W 127-97,240,27,10,6,12,21,26,5,6,19,22
33,LAL,2023-05-08,21,,GSW,W 104-101,240,21,8,1,14,15,29,9,2,16,22
34,LAL,2023-05-12,25,,GSW,W 122-101,240,25,6,6,6,17,25,3,2,10,30
35,LAL,2023-05-20,27,,DEN,L 108-119,240,27,3,2,12,18,30,7,1,5,19
36,LAL,2023-05-22,20,,DEN,L 111-113,240,20,5,4,6,19,25,3,9,8,20
37,LAL,2024-04-25,23,,DEN,L 105-112,240,23,8,2,7,16,27,4,3,13,14
38,LAL,2024-04-27,23,,DEN,W 119-108,240,23,6,2,11,20,30,9,4,14,15
