Rk,Team,Date▲,PTS,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
1,IND,2011-04-16,99,@,CHI,L 99-104,240,39,84,.464,29,66,.439,10,18,.556,11,17,.647,99,36,82,.439,30,62,.484,6,20,.300,26,32,.813,104
2,IND,2011-04-18,90,@,CHI,L 90-96,240,32,77,.416,26,60,.433,6,17,.353,20,27,.741,90,32,83,.386,27,69,.391,5,14,.357,27,34,.794,96
3,IND,2011-04-26,89,@,CHI,L 89-116,240,29,74,.392,22,58,.379,7,16,.438,24,26,.923,89,40,83,.482,26,52,.500,14,31,.452,22,27,.815,116
4,IND,2012-05-02,97,@,ORL,W 97-74,240,37,79,.468,29,59,.492,8,20,.400,15,20,.750,97,30,71,.423,25,56,.446,5,15,.333,9,18,.500,74
5,IND,2012-05-05,101,@,ORL,W 101-99 (OT),265,39,84,.464,33,63,.524,6,21,.286,17,20,.850,101,34,85,.400,25,56,.446,9,29,.310,22,28,.786,99
6,IND,2012-05-13,86,@,MIA,L 86-95,240,31,77,.403,27,60,.450,4,17,.235,20,28,.714,86,33,81,.407,33,75,.440,0,6,.000,29,38,.763,95
7,IND,2012-05-15,78,@,MIA,W 78-75,240,28,74,.378,25,59,.424,3,15,.200,19,27,.704,78,27,78,.346,26,62,.419,1,16,.063,20,29,.690,75
8,IND,2012-05-22,83,@,MIA,L 83-115,240,30,89,.337,24,68,.353,6,21,.286,17,23,.739,83,43,70,.614,34,54,.630,9,16,.563,20,29,.690,115
9,IND,2013-04-27,69,@,ATL,L 69-90,240,22,81,.272,18,56,.321,4,25,.160,21,28,.750,69,35,82,.427,31,67,.463,4,15,.267,16,28,.571,90
10,IND,2013-04-29,91,@,ATL,L 91-102,240,32,84,.381,25,61,.410,7,23,.304,20,25,.800,91,33,74,.446,22,50,.440,11,24,.458,25,38,.658,102
11,IND,2013-05-03,81,@,ATL,W 81-73,240,32,76,.421,29,61,.475,3,15,.200,14,21,.667,81,26,78,.333,23,59,.390,3,19,.158,18,20,.900,73
12,IND,2013-05-05,102,@,NYK,W 102-95,240,37,76,.487,29,53,.547,8,23,.348,20,26,.769,102,35,81,.432,28,62,.452,7,19,.368,18,23,.783,95
13,IND,2013-05-07,79,@,NYK,L 79-105,240,30,66,.455,22,41,.537,8,25,.320,11,18,.611,79,44,89,.494,34,59,.576,10,30,.333,7,10,.700,105
14,IND,2013-05-16,75,@,NYK,L 75-85,240,25,69,.362,19,50,.380,6,19,.316,19,33,.576,75,32,78,.410,25,60,.417,7,18,.389,14,17,.824,85
15,IND,2013-05-22,102,@,MIA,L 102-103 (OT),265,37,83,.446,33,69,.478,4,14,.286,24,32,.750,102,41,86,.477,36,68,.529,5,18,.278,16,25,.640,103
16,IND,2013-05-24,97,@,MIA,W 97-93,240,33,66,.500,28,54,.519,5,12,.417,26,32,.813,97,34,73,.466,27,51,.529,7,22,.318,18,26,.692,93
17,IND,2013-05-30,79,@,MIA,L 79-90,240,31,69,.449,26,56,.464,5,13,.385,12,15,.800,79,38,75,.507,31,57,.544,7,18,.389,7,12,.583,90
18,IND,2013-06-03,76,@,MIA,L 76-99,240,28,69,.406,22,49,.449,6,20,.300,14,20,.700,76,30,77,.390,24,61,.393,6,16,.375,33,38,.868,99
19,IND,2014-04-24,85,@,ATL,L 85-98,240,32,85,.376,27,65,.415,5,20,.250,16,21,.762,85,28,73,.384,16,39,.410,12,34,.353,30,37,.811,98
20,IND,2014-04-26,91,@,ATL,W 91-88,240,37,77,.481,28,54,.519,9,23,.391,8,14,.571,91,30,84,.357,19,53,.358,11,31,.355,17,17,1.000,88
21,IND,2014-05-01,95,@,ATL,W 95-88,240,33,77,.429,27,57,.474,6,20,.300,23,27,.852,95,29,81,.358,20,46,.435,9,35,.257,21,24,.875,88
22,IND,2014-05-09,85,@,WAS,W 85-63,240,31,74,.419,24,59,.407,7,15,.467,16,21,.762,85,24,73,.329,20,57,.351,4,16,.250,11,21,.524,63
23,IND,2014-05-11,95,@,WAS,W 95-92,240,33,73,.452,23,51,.451,10,22,.455,19,29,.655,95,36,79,.456,31,64,.484,5,15,.333,15,19,.789,92
24,IND,2014-05-15,93,@,WAS,W 93-80,240,37,72,.514,35,62,.565,2,10,.200,17,25,.680,93,31,79,.392,29,61,.475,2,18,.111,16,20,.800,80
25,IND,2014-05-24,87,@,MIA,L 87-99,240,31,65,.477,25,44,.568,6,21,.286,19,25,.760,87,37,68,.544,27,50,.540,10,18,.556,15,20,.750,99
26,IND,2014-05-26,90,@,MIA,L 90-102,240,35,71,.493,26,50,.520,9,21,.429,11,17,.647,90,32,69,.464,24,45,.533,8,24,.333,30,34,.882,102
27,IND,2014-05-30,92,@,MIA,L 92-117,240,32,69,.464,22,44,.500,10,25,.400,18,24,.750,92,44,76,.579,33,50,.660,11,26,.423,18,21,.857,117
28,IND,2016-04-16,100,@,TOR,W 100-90,240,34,79,.430,23,58,.397,11,21,.524,21,29,.724,100,30,79,.380,26,60,.433,4,19,.211,26,38,.684,90
29,IND,2016-04-18,87,@,TOR,L 87-98,240,29,70,.414,25,50,.500,4,20,.200,25,30,.833,87,35,80,.438,30,62,.484,5,18,.278,23,25,.920,98
30,IND,2016-04-26,99,@,TOR,L 99-102,240,33,73,.452,20,44,.455,13,29,.448,20,23,.870,99,33,82,.402,27,56,.482,6,26,.231,30,35,.857,102
31,IND,2016-05-01,84,@,TOR,L 84-89,240,34,73,.466,25,54,.463,9,19,.474,7,8,.875,84,34,89,.382,26,65,.400,8,24,.333,13,17,.765,89
32,IND,2017-04-15,108,@,CLE,L 108-109,240,40,81,.494,29,57,.509,11,24,.458,17,20,.850,108,42,78,.538,31,50,.620,11,28,.393,14,27,.519,109
33,IND,2017-04-17,111,@,CLE,L 111-117,240,43,84,.512,35,64,.547,8,20,.400,17,23,.739,111,42,76,.553,29,45,.644,13,31,.419,20,23,.870,117
34,IND,2018-04-15,98,@,CLE,W 98-80,240,36,79,.456,25,51,.490,11,28,.393,15,25,.600,98,30,78,.385,22,44,.500,8,34,.235,12,20,.600,80
35,IND,2018-04-18,97,@,CLE,L 97-100,240,41,78,.526,35,56,.625,6,22,.273,9,12,.750,97,37,73,.507,26,45,.578,11,28,.393,15,22,.682,100
36,IND,2018-04-25,95,@,CLE,L 95-98,240,34,71,.479,28,51,.549,6,20,.300,21,27,.778,95,31,75,.413,21,43,.488,10,32,.313,26,27,.963,98
37,IND,2018-04-29,101,@,CLE,L 101-105,240,36,80,.450,26,49,.531,10,31,.323,19,24,.792,101,32,74,.432,22,45,.489,10,29,.345,31,40,.775,105
38,IND,2019-04-14,74,@,BOS,L 74-84,240,28,84,.333,22,57,.386,6,27,.222,12,21,.571,74,28,77,.364,18,49,.367,10,28,.357,18,22,.818,84
39,IND,2019-04-17,91,@,BOS,L 91-99,240,36,81,.444,23,47,.489,13,34,.382,6,10,.600,91,40,84,.476,29,56,.518,11,28,.393,8,9,.889,99
40,IND,2020-08-22,115,@,MIA,L 115-124,240,41,84,.488,29,51,.569,12,33,.364,21,28,.750,115,34,75,.453,21,42,.500,13,33,.394,43,52,.827,124
41,IND,2020-08-24,87,@,MIA,L 87-99,240,33,80,.413,19,43,.442,14,37,.378,7,11,.636,87,40,91,.440,32,61,.525,8,30,.267,11,14,.786,99
42,IND,2024-04-21,94,@,MIL,L 94-109,240,36,91,.396,28,53,.528,8,38,.211,14,21,.667,94,41,87,.471,27,50,.540,14,37,.378,13,13,1.000,109
43,IND,2024-04-23,125,@,MIL,W 125-108,240,50,90,.556,34,54,.630,16,36,.444,9,14,.643,125,38,86,.442,25,54,.463,13,32,.406,19,21,.905,108
44,IND,2024-04-30,92,@,MIL,L 92-115,240,36,81,.444,24,43,.558,12,38,.316,8,13,.615,92,44,84,.524,33,55,.600,11,29,.379,16,20,.800,115
45,IND,2024-05-06,117,@,NYK,L 117-121,240,46,88,.523,36,62,.581,10,26,.385,15,19,.789,117,44,82,.537,33,59,.559,11,23,.478,22,26,.846,121
46,IND,2024-05-08,121,@,NYK,L 121-130,240,48,93,.516,33,59,.559,15,34,.441,10,17,.588,121,49,86,.570,35,56,.625,14,30,.467,18,22,.818,130
47,IND,2024-05-14,91,@,NYK,L 91-121,240,31,72,.431,19,45,.422,12,27,.444,17,22,.773,91,47,101,.465,35,66,.530,12,35,.343,15,19,.789,121
48,IND,2024-05-19,130,@,NYK,W 130-109,240,53,79,.671,40,55,.727,13,24,.542,11,16,.688,130,36,85,.424,23,50,.460,13,35,.371,24,27,.889,109
49,IND,2024-05-21,128,@,BOS,L 128-133 (OT),265,53,99,.535,40,64,.625,13,35,.371,9,10,.900,128,47,99,.475,32,54,.593,15,45,.333,24,30,.800,133
