Rk,Team,Date▲,AST,,Opp,Result,MP,AST,STL,BLK,TOV,PF,AST,STL,BLK,TOV,PF
1,IND,2011-04-16,21,@,CHI,L 99-104,240,21,8,6,10,25,18,6,9,14,21
2,IND,2011-04-18,22,@,CHI,L 90-96,240,22,13,7,17,27,15,11,5,21,24
3,IND,2011-04-26,14,@,CHI,L 89-116,240,14,4,4,20,23,27,10,9,14,23
4,IND,2012-05-02,16,@,ORL,W 97-74,240,16,9,5,12,17,14,6,1,17,18
5,IND,2012-05-05,23,@,ORL,W 101-99 (OT),265,23,4,4,16,28,24,7,3,11,23
6,IND,2012-05-13,18,@,MIA,L 86-95,240,18,7,3,15,31,16,8,5,12,22
7,IND,2012-05-15,10,@,MIA,W 78-75,240,10,8,7,17,25,11,10,5,12,22
8,IND,2012-05-22,15,@,MIA,L 83-115,240,15,8,3,9,21,20,5,10,13,20
9,IND,2013-04-27,10,@,ATL,L 69-90,240,10,6,5,22,27,17,11,6,14,27
10,IND,2013-04-29,22,@,ATL,L 91-102,240,22,8,4,13,28,24,10,4,13,25
11,IND,2013-05-03,17,@,ATL,W 81-73,240,17,7,9,15,20,12,5,4,9,19
12,IND,2013-05-05,21,@,NYK,W 102-95,240,21,3,8,16,21,15,4,4,10,21
13,IND,2013-05-07,19,@,NYK,L 79-105,240,19,4,5,21,18,20,11,4,6,20
14,IND,2013-05-16,12,@,NYK,L 75-85,240,12,6,3,19,18,12,12,5,10,30
15,IND,2013-05-22,18,@,MIA,L 102-103 (OT),265,18,10,2,20,30,24,9,9,20,28
16,IND,2013-05-24,18,@,MIA,W 97-93,240,18,6,3,13,23,14,4,4,14,27
17,IND,2013-05-30,11,@,MIA,L 79-90,240,11,6,5,17,19,19,6,7,10,11
18,IND,2013-06-03,14,@,MIA,L 76-99,240,14,3,3,21,28,14,11,5,10,22
19,IND,2014-04-24,21,@,ATL,L 85-98,240,21,9,2,13,22,21,4,4,14,19
20,IND,2014-04-26,22,@,ATL,W 91-88,240,22,7,11,10,19,22,8,4,12,18
21,IND,2014-05-01,15,@,ATL,W 95-88,240,15,7,3,13,27,14,7,5,13,23
22,IND,2014-05-09,20,@,WAS,W 85-63,240,20,9,6,9,20,10,6,5,17,22
23,IND,2014-05-11,20,@,WAS,W 95-92,240,20,6,2,18,19,22,11,8,13,23
24,IND,2014-05-15,18,@,WAS,W 93-80,240,18,6,4,11,23,17,4,3,11,23
25,IND,2014-05-24,17,@,MIA,L 87-99,240,17,7,1,17,22,17,9,2,15,24
26,IND,2014-05-26,18,@,MIA,L 90-102,240,18,1,1,14,27,16,7,2,5,17
27,IND,2014-05-30,14,@,MIA,L 92-117,240,14,5,2,11,17,24,7,4,9,22
28,IND,2016-04-16,19,@,TOR,W 100-90,240,19,11,8,13,25,17,6,5,19,27
29,IND,2016-04-18,13,@,TOR,L 87-98,240,13,7,3,13,23,19,8,5,13,25
30,IND,2016-04-26,22,@,TOR,L 99-102,240,22,5,5,14,26,12,9,3,7,18
31,IND,2016-05-01,12,@,TOR,L 84-89,240,12,5,5,13,17,21,7,7,8,12
32,IND,2017-04-15,21,@,CLE,L 108-109,240,21,6,1,13,25,26,7,2,11,19
33,IND,2017-04-17,23,@,CLE,L 111-117,240,23,14,3,13,21,19,6,8,18,16
34,IND,2018-04-15,19,@,CLE,W 98-80,240,19,12,4,11,21,21,7,4,16,23
35,IND,2018-04-18,22,@,CLE,L 97-100,240,22,8,3,17,23,15,8,2,15,19
36,IND,2018-04-25,23,@,CLE,L 95-98,240,23,7,3,14,22,16,6,3,14,21
37,IND,2018-04-29,15,@,CLE,L 101-105,240,15,6,0,11,28,18,6,4,12,21
38,IND,2019-04-14,22,@,BOS,L 74-84,240,22,8,5,13,20,18,8,2,17,20
39,IND,2019-04-17,23,@,BOS,L 91-99,240,23,11,3,11,16,22,3,5,14,16
40,IND,2020-08-22,23,@,MIA,L 115-124,240,23,10,5,14,31,23,10,2,16,19
41,IND,2020-08-24,20,@,MIA,L 87-99,240,20,8,6,15,16,24,8,4,13,12
42,IND,2024-04-21,20,@,MIL,L 94-109,240,20,4,5,12,16,21,5,5,10,22
43,IND,2024-04-23,38,@,MIL,W 125-108,240,38,3,6,5,18,24,4,4,7,13
44,IND,2024-04-30,25,@,MIL,L 92-115,240,25,3,3,12,18,23,8,4,10,15
45,IND,2024-05-06,32,@,NYK,L 117-121,240,32,9,5,7,22,25,5,4,14,19
46,IND,2024-05-08,33,@,NYK,L 121-130,240,33,5,3,9,17,28,5,3,9,14
47,IND,2024-05-14,24,@,NYK,L 91-121,240,24,5,6,18,19,26,7,5,9,22
48,IND,2024-05-19,33,@,NYK,W 130-109,240,33,7,9,12,22,22,5,2,8,17
49,IND,2024-05-21,38,@,BOS,L 128-133 (OT),265,38,8,4,21,23,30,11,5,14,15
