Rk,Team,Date▲,AST,,Opp,Result,MP,AST,STL,BLK,TOV,PF,AST,STL,BLK,TOV,PF
1,IND,2011-04-21,11,,CHI,L 84-88,240,11,10,6,11,20,20,7,9,15,20
2,IND,2011-04-23,12,,CHI,W 89-84,240,12,6,5,11,20,19,7,6,13,23
3,IND,2012-04-28,17,,ORL,L 77-81,240,17,7,11,10,17,18,3,8,12,17
4,IND,2012-04-30,9,,ORL,W 93-78,240,9,9,6,11,17,16,6,4,16,20
5,IND,2012-05-08,16,,ORL,W 105-87,240,16,8,5,13,16,14,8,6,11,17
6,IND,2012-05-17,20,,MIA,W 94-75,240,20,6,8,14,20,9,5,6,14,21
7,IND,2012-05-20,17,,MIA,L 93-101,240,17,7,6,15,28,20,8,9,15,24
8,IND,2012-05-24,18,,MIA,L 93-105,240,18,3,2,20,22,16,9,4,9,20
9,IND,2013-04-21,23,,ATL,W 107-90,240,23,8,4,14,19,23,5,3,16,26
10,IND,2013-04-24,22,,ATL,W 113-98,240,22,10,5,10,19,25,7,4,14,24
11,IND,2013-05-01,24,,ATL,W 106-83,240,24,2,2,16,30,14,6,2,6,24
12,IND,2013-05-11,14,,NYK,W 82-71,240,14,7,1,17,23,11,7,3,14,23
13,IND,2013-05-14,17,,NYK,W 93-82,240,17,4,8,12,18,14,7,9,9,29
14,IND,2013-05-18,17,,NYK,W 106-99,240,17,4,7,9,16,19,3,0,9,34
15,IND,2013-05-26,16,,MIA,L 96-114,240,16,1,3,10,25,21,6,5,5,30
16,IND,2013-05-28,18,,MIA,W 99-92,240,18,3,5,12,25,15,7,5,6,30
17,IND,2013-06-01,19,,MIA,W 91-77,240,19,5,3,18,19,10,10,6,13,21
18,IND,2014-04-19,19,,ATL,L 93-101,240,19,8,4,15,29,13,6,7,12,20
19,IND,2014-04-22,25,,ATL,W 101-85,240,25,8,4,16,18,13,7,2,13,23
20,IND,2014-04-28,24,,ATL,L 97-107,240,24,11,7,12,24,19,5,6,16,19
21,IND,2014-05-03,17,,ATL,W 92-80,240,17,6,13,17,19,16,9,4,10,24
22,IND,2014-05-05,16,,WAS,L 96-102,240,16,6,5,13,26,23,7,7,15,23
23,IND,2014-05-07,17,,WAS,W 86-82,240,17,8,3,7,15,20,5,3,9,21
24,IND,2014-05-13,19,,WAS,L 79-102,240,19,8,5,11,20,21,8,3,19,22
25,IND,2014-05-18,23,,MIA,W 107-96,240,23,4,3,12,15,23,7,4,11,26
26,IND,2014-05-20,19,,MIA,L 83-87,240,19,6,2,10,16,19,7,6,11,17
27,IND,2014-05-28,13,,MIA,W 93-90,240,13,12,2,12,16,22,6,3,17,24
28,IND,2016-04-21,16,,TOR,L 85-101,240,16,3,6,16,18,18,6,4,11,27
29,IND,2016-04-23,24,,TOR,W 100-83,240,24,10,5,12,22,12,8,3,17,20
30,IND,2016-04-29,21,,TOR,W 101-83,240,21,12,7,14,25,14,9,5,16,23
31,IND,2017-04-20,25,,CLE,L 114-119,240,25,4,5,9,23,23,6,7,8,23
32,IND,2017-04-23,21,,CLE,L 102-106,240,21,8,6,14,22,11,9,8,13,15
33,IND,2018-04-20,17,,CLE,W 92-90,240,17,8,3,17,22,17,11,3,16,23
34,IND,2018-04-22,25,,CLE,L 100-104,240,25,7,5,8,19,17,4,7,11,18
35,IND,2018-04-27,27,,CLE,W 121-87,240,27,9,1,7,18,16,4,2,14,17
36,IND,2019-04-19,20,,BOS,L 96-104,240,20,9,4,9,19,23,4,4,13,19
37,IND,2019-04-21,18,,BOS,L 106-110,240,18,5,2,12,25,18,7,1,16,23
38,IND,2020-08-18,22,,MIA,L 101-113,240,22,7,4,13,23,22,8,7,9,17
39,IND,2020-08-20,25,,MIA,L 100-109,240,25,12,7,16,23,27,9,4,16,15
40,IND,2024-04-26,32,,MIL,W 121-118 (OT),265,32,5,4,8,20,20,6,2,11,26
41,IND,2024-04-28,33,,MIL,W 126-113,240,33,5,6,7,18,26,5,4,9,18
42,IND,2024-05-02,33,,MIL,W 120-98,240,33,7,3,10,26,19,4,0,12,18
43,IND,2024-05-10,22,,NYK,W 111-106,240,22,6,6,10,20,19,6,6,13,18
44,IND,2024-05-12,31,,NYK,W 121-89,240,31,9,7,14,25,18,8,2,12,12
45,IND,2024-05-17,35,,NYK,W 116-103,240,35,3,8,8,21,20,6,5,7,15
