Rk,Team,Date▲,AST,,Opp,Result,MP,AST,STL,BLK,TOV,PF,AST,STL,BLK,TOV,PF
1,UTA,2012-04-29,17,@,SAS,L 91-106,240,17,7,8,16,24,25,10,2,10,18
2,UTA,2012-05-02,16,@,SAS,L 83-114,240,16,7,3,15,16,28,10,5,12,18
3,UTA,2017-04-15,21,@,LAC,W 97-95,240,21,7,4,12,19,20,6,4,15,18
4,UTA,2017-04-18,15,@,LAC,L 91-99,240,15,7,2,13,16,26,7,4,11,23
5,UTA,2017-04-25,25,@,LAC,W 96-92,240,25,10,4,12,24,16,7,2,13,20
6,UTA,2017-04-30,22,@,LAC,W 104-91,240,22,8,2,8,24,17,3,2,10,19
7,UTA,2017-05-02,25,@,GSW,L 94-106,240,25,7,4,13,18,32,7,8,7,16
8,UTA,2017-05-04,19,@,GSW,L 104-115,240,19,9,2,14,23,33,11,4,17,20
9,UTA,2018-04-15,18,@,OKC,L 108-116,240,18,10,7,14,21,16,8,5,17,19
10,UTA,2018-04-18,22,@,OKC,W 102-95,240,22,9,3,14,19,22,11,4,13,25
11,UTA,2018-04-25,19,@,OKC,L 99-107,240,19,5,6,16,24,13,9,3,8,21
12,UTA,2018-04-29,20,@,HOU,L 96-110,240,20,11,3,18,20,18,10,5,14,21
13,UTA,2018-05-02,26,@,HOU,W 116-108,240,26,4,5,17,24,22,11,7,7,21
14,UTA,2018-05-08,24,@,HOU,L 102-112,240,24,5,5,12,18,21,10,8,9,18
15,UTA,2019-04-14,17,@,HOU,L 90-122,240,17,6,2,18,20,25,6,6,10,20
16,UTA,2019-04-17,27,@,HOU,L 98-118,240,27,16,3,12,26,17,8,9,18,18
17,UTA,2019-04-24,26,@,HOU,L 93-100,240,26,8,4,15,22,17,12,12,17,21
18,UTA,2020-08-17,18,@,DEN,L 125-135 (OT),265,18,6,4,15,22,23,10,6,11,22
19,UTA,2020-08-19,32,@,DEN,W 124-105,240,32,5,7,6,18,22,1,4,10,19
20,UTA,2020-08-25,23,@,DEN,L 107-117,240,23,7,3,15,20,22,4,5,9,18
21,UTA,2020-09-01,16,@,DEN,L 78-80,240,16,6,3,12,14,21,7,4,10,18
22,UTA,2021-05-29,17,@,MEM,W 121-111,240,17,4,7,13,18,23,7,1,9,22
23,UTA,2021-05-31,23,@,MEM,W 120-113,240,23,7,4,11,16,26,8,4,9,21
24,UTA,2021-06-12,15,@,LAC,L 106-132,240,15,7,1,13,22,21,6,2,9,18
25,UTA,2021-06-14,19,@,LAC,L 104-118,240,19,4,3,11,32,19,8,7,10,24
26,UTA,2021-06-18,19,@,LAC,L 119-131,240,19,4,0,15,19,27,13,6,6,16
27,UTA,2022-04-16,15,@,DAL,W 99-93,240,15,3,5,14,25,17,8,4,7,22
28,UTA,2022-04-18,19,@,DAL,L 104-110,240,19,2,4,10,19,22,5,2,3,19
29,UTA,2022-04-25,12,@,DAL,L 77-102,240,12,8,2,13,24,16,6,1,10,18
