Rk,Team,Date▲,PTS,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
1,UTA,2012-05-05,90,,SAS,L 90-102,240,36,89,.404,32,76,.421,4,13,.308,14,26,.538,90,39,80,.488,32,60,.533,7,20,.350,17,22,.773,102
2,UTA,2012-05-07,81,,SAS,L 81-87,240,32,88,.364,32,75,.427,0,13,.000,17,26,.654,81,28,74,.378,18,52,.346,10,22,.455,21,30,.700,87
3,UTA,2017-04-21,106,,LAC,L 106-111,240,36,69,.522,22,35,.629,14,34,.412,20,29,.690,106,41,75,.547,34,56,.607,7,19,.368,22,33,.667,111
4,UTA,2017-04-23,105,,LAC,W 105-98,240,40,74,.541,30,52,.577,10,22,.455,15,21,.714,105,33,75,.440,22,43,.512,11,32,.344,21,29,.724,98
5,UTA,2017-04-28,93,,LAC,L 93-98,240,32,78,.410,25,52,.481,7,26,.269,22,33,.667,93,37,75,.493,28,54,.519,9,21,.429,15,26,.577,98
6,UTA,2017-05-06,91,,GSW,L 91-102,240,30,77,.390,23,55,.418,7,22,.318,24,34,.706,91,37,84,.440,28,54,.519,9,30,.300,19,23,.826,102
7,UTA,2017-05-08,95,,GSW,L 95-121,240,33,89,.371,25,62,.403,8,27,.296,21,28,.750,95,43,84,.512,32,58,.552,11,26,.423,24,27,.889,121
8,UTA,2018-04-21,115,,OKC,W 115-102,240,42,80,.525,29,46,.630,13,34,.382,18,27,.667,115,37,78,.474,23,50,.460,14,28,.500,14,19,.737,102
9,UTA,2018-04-23,113,,OKC,W 113-96,240,41,91,.451,29,57,.509,12,34,.353,19,27,.704,113,33,84,.393,28,58,.483,5,26,.192,25,30,.833,96
10,UTA,2018-04-27,96,,OKC,W 96-91,240,37,82,.451,27,56,.482,10,26,.385,12,23,.522,96,37,93,.398,27,59,.458,10,34,.294,7,13,.538,91
11,UTA,2018-05-04,92,,HOU,L 92-113,240,35,84,.417,24,55,.436,11,29,.379,11,15,.733,92,42,86,.488,31,50,.620,11,36,.306,18,20,.900,113
12,UTA,2018-05-06,87,,HOU,L 87-100,240,32,83,.386,25,54,.463,7,29,.241,16,20,.800,87,37,88,.420,27,50,.540,10,38,.263,16,17,.941,100
13,UTA,2019-04-20,101,,HOU,L 101-104,240,32,77,.416,20,36,.556,12,41,.293,25,38,.658,101,33,86,.384,18,41,.439,15,45,.333,23,34,.676,104
14,UTA,2019-04-22,107,,HOU,W 107-91,240,37,86,.430,26,51,.510,11,35,.314,22,26,.846,107,28,79,.354,11,33,.333,17,46,.370,18,24,.750,91
15,UTA,2020-08-21,124,,DEN,W 124-87,240,43,84,.512,25,47,.532,18,37,.486,20,26,.769,124,33,88,.375,21,50,.420,12,38,.316,9,11,.818,87
16,UTA,2020-08-23,129,,DEN,W 129-127,240,42,73,.575,28,44,.636,14,29,.483,31,36,.861,129,49,100,.490,32,56,.571,17,44,.386,12,13,.923,127
17,UTA,2020-08-30,107,,DEN,L 107-119,240,34,75,.453,16,39,.410,18,36,.500,21,30,.700,107,39,71,.549,21,35,.600,18,36,.500,23,26,.885,119
18,UTA,2021-05-23,109,,MEM,L 109-112,240,34,81,.420,22,34,.647,12,47,.255,29,33,.879,109,45,100,.450,38,80,.475,7,20,.350,15,21,.714,112
19,UTA,2021-05-26,141,,MEM,W 141-129,240,49,90,.544,30,51,.588,19,39,.487,24,31,.774,141,46,85,.541,38,62,.613,8,23,.348,29,38,.763,129
20,UTA,2021-06-02,126,,MEM,W 126-110,240,49,95,.516,32,51,.627,17,44,.386,11,12,.917,126,44,95,.463,30,56,.536,14,39,.359,8,9,.889,110
21,UTA,2021-06-08,112,,LAC,W 112-109,240,37,91,.407,20,41,.488,17,50,.340,21,26,.808,112,36,85,.424,20,43,.465,16,42,.381,21,24,.875,109
22,UTA,2021-06-10,117,,LAC,W 117-111,240,42,76,.553,22,37,.595,20,39,.513,13,21,.619,117,40,85,.471,29,55,.527,11,30,.367,20,23,.870,111
23,UTA,2021-06-16,111,,LAC,L 111-119,240,36,80,.450,16,26,.615,20,54,.370,19,27,.704,111,41,80,.513,25,40,.625,16,40,.400,21,25,.840,119
24,UTA,2022-04-21,118,,DAL,L 118-126,240,39,69,.565,30,41,.732,9,28,.321,31,33,.939,118,41,83,.494,23,41,.561,18,42,.429,26,31,.839,126
25,UTA,2022-04-23,100,,DAL,W 100-99,240,32,79,.405,22,44,.500,10,35,.286,26,42,.619,100,33,77,.429,18,33,.545,15,44,.341,18,23,.783,99
26,UTA,2022-04-28,96,,DAL,L 96-98,240,36,84,.429,27,49,.551,9,35,.257,15,20,.750,96,36,80,.450,19,37,.514,17,43,.395,9,11,.818,98
