Rk,Team,Date▲,AST,,Opp,Result,MP,AST,STL,BLK,TOV,PF,AST,STL,BLK,TOV,PF
1,UTA,2012-05-05,18,,SAS,L 90-102,240,18,6,8,9,18,21,2,11,11,20
2,UTA,2012-05-07,16,,SAS,L 81-87,240,16,6,8,12,23,12,7,4,12,23
3,UTA,2017-04-21,16,,LAC,L 106-111,240,16,5,2,11,26,16,8,3,8,20
4,UTA,2017-04-23,24,,LAC,W 105-98,240,24,7,3,12,17,17,8,0,9,18
5,UTA,2017-04-28,18,,LAC,L 93-98,240,18,8,5,7,20,17,5,2,16,24
6,UTA,2017-05-06,19,,GSW,L 91-102,240,19,6,3,8,22,17,3,4,7,20
7,UTA,2017-05-08,13,,GSW,L 95-121,240,13,7,4,9,23,28,8,3,11,26
8,UTA,2018-04-21,24,,OKC,W 115-102,240,24,12,5,19,20,17,11,3,17,23
9,UTA,2018-04-23,21,,OKC,W 113-96,240,21,7,7,11,23,10,8,6,14,21
10,UTA,2018-04-27,16,,OKC,W 96-91,240,16,9,5,13,17,20,6,4,13,21
11,UTA,2018-05-04,17,,HOU,L 92-113,240,17,3,4,16,19,26,8,7,8,19
12,UTA,2018-05-06,16,,HOU,L 87-100,240,16,8,5,16,21,15,11,9,13,21
13,UTA,2019-04-20,21,,HOU,L 101-104,240,21,9,11,14,22,19,11,4,13,25
14,UTA,2019-04-22,24,,HOU,W 107-91,240,24,7,7,14,19,14,9,4,15,23
15,UTA,2020-08-21,27,,DEN,W 124-87,240,27,9,2,10,20,20,2,5,17,24
16,UTA,2020-08-23,14,,DEN,W 129-127,240,14,2,0,10,19,25,2,4,6,24
17,UTA,2020-08-30,20,,DEN,L 107-119,240,20,8,3,10,20,22,8,4,15,24
18,UTA,2021-05-23,20,,MEM,L 109-112,240,20,3,11,14,21,18,12,5,9,23
19,UTA,2021-05-26,28,,MEM,W 141-129,240,28,2,4,12,25,20,6,4,11,25
20,UTA,2021-06-02,27,,MEM,W 126-110,240,27,10,5,14,16,23,7,6,14,12
21,UTA,2021-06-08,18,,LAC,W 112-109,240,18,5,6,7,24,22,3,6,8,24
22,UTA,2021-06-10,15,,LAC,W 117-111,240,15,4,3,14,23,19,6,3,11,25
23,UTA,2021-06-16,15,,LAC,L 111-119,240,15,7,1,13,21,17,11,3,10,22
24,UTA,2022-04-21,20,,DAL,L 118-126,240,20,2,4,14,28,24,10,1,8,32
25,UTA,2022-04-23,17,,DAL,W 100-99,240,17,4,3,8,21,15,4,2,11,29
26,UTA,2022-04-28,20,,DAL,L 96-98,240,20,5,4,11,15,22,6,4,9,19
