fname,lname,nickname,division,rank,style,country,debut
Islam,Makhachev,,Lightweight,C,Sambo,Russia,2015-05-23
Alexandre,Pantoja,The Cannibal,Flyweight,C,MMA,Brazil,2017-01-29
Sean,O'Malley,Suga,Bantamweight,C,MMA,United States,2017-07-18
Ilia,Topuria,El  Matador,Featherweight,C,Brazilian Jiu-Jitsu,Germany,2020-10-10
Belal,Muhammad,Remember The Name,Welterweight,C,MMA,United States,2016-07-07
Dricus,Du Plessis,Stillknocks,Middleweight,C,MMA,South Africa,2020-10-10
Alex,Pereira,Poatan,Light Heavyweight,C,Kickboxer,Brazil,2021-11-06
Jon,Jones,Bones,Heavyweight,C,MMA,United States,2008-08-09
Alexa,Grasso,,Women's Flyweight,C,MMA,Mexico,2016-11-06
Zhang,Weili,Magnum,Women's Strawweight,C,Muay Thai,China,2018-08-04
Raquel,Pennington,Rocky,Women's Bantamweight,C,Freestyle,United States,2013-12-01
Leon,Edwards,Rocky,Welterweight,1,MMA,Jamaica,2014-11-09
Alexander,Volkanovski,The Great,Featherweight,1,MMA,Australia,2016-10-15
Tom,Aspinall,,Heavyweight,1,Freestyle,England,2020-03-21
Max,Holloway,Blessed,Lightweight,9,Muay Thai,United States,2012-02-04
Israel,Adesanya,The Last Stylebender,Middleweight,2,Freestyle,Nigeria,2018-02-11
Sean,Strickland,,Middleweight,1,MMA,United States,2014-03-15
Charles,Oliveira,Do Bronxs,Lightweight,2,Jiu-Jitsu,Brazil,2010-08-01
Brandon,Royval,Raw Dawg,Flyweight,1,Brawler,United States,2020-05-30
Brandon,Moreno,The Assassin Baby,Flyweight,2,Jiu-Jitsu,Mexico,2016-10-02
Amir,Albazi,The Prince,Flyweight,3,Jiu-Jitsu,Iraq,2020-07-18
Kai,Kara-France,Don't Blink,Flyweight,4,Kickboxer,New Zealand,2018-12-02
Tatsuro,Taira,,Flyweight,5,MMA,Japan,2022-04-30
Alex,Perez,,Flyweight,6,Freestyle,United States,2017-08-08
Steve,Erceg,Astroboy,Flyweight,7,MMA,Australia,2023-05-20
