Division,Fighting Style,Country
Lightweight,Sambo,Russia
Flyweight,MMA,Brazil
Bantamweight,MMA,United States
Featherweight,Brazilian Jiu-Jitsu,Germany
Welterweight,MMA,Jamaica
Middleweight,MMA,South Africa
Light Heavyweight,Kickboxer,Brazil
Heavyweight,MMA,United States
Women's Flyweight,MMA,Mexico
Women's Strawweight,Muay Thai,China
Women's Bantamweight,Freestyle,United States
Featherweight,MMA,Australia
Lightweight,Muay Thai,United States
Middleweight,Freestyle,Nigeria
Heavyweight,Freestyle,England
Lightweight,Jiu-Jitsu,Brazil
Middleweight,MMA,United States
Featherweight,Kickboxer,United States
Flyweight,Brawler,United States
Flyweight,Jiu-Jitsu,Mexico
Flyweight,Jiu-Jitsu,Iraq
Flyweight,Kickboxer,New Zealand
Flyweight,Freestyle,United States
Flyweight,Wrestler,Wrestler
Flyweight,MMA,Angola
Flyweight,Boxing,Brazil
Flyweight,MMA,Australia
Flyweight,Freestyle,United States
Flyweight,Boxing,United States
Flyweight,Grappler,Russia
Flyweight,MMA,Japan
Bantamweight,Striker,China
Flyweight,MMA,Czechia
Bantamweight,Freestyle,Georgia
Bantamweight,MMA,United States
Bantamweight,Boxer,Russia
Bantamweight,Grappler,Ecuador
Bantamweight,Wrestling,United States
Bantamweight,Boxing,Brazil
Bantamweight,Boxer,China
Bantamweight,Jiu-Jitsu,Brazil
Bantamweight,Striker,United States
Bantamweight,MMA,Russia
Bantamweight,MMA,United States
Bantamweight,Freestyle,United States
Bantamweight,Wrestler,United States
Bantamweight,Freestyle,United States
Bantamweight,Muay Thai,Brazil
Featherweight,Striker,United States
Featherweight,Freestyle,Mexico
Featherweight,Freestyle,Russia
Featherweight,MMA,England
Featherweight,Freestyle,United States
Featherweight,Freestyle,United States
Featherweight,Karate,Georgia
Featherweight,Kickboxer,England
Featherweight,MMA,United States
Featherweight,Jiu-Jitsu,United States
Featherweight,Jiu-Jitsu,Brazil
Featherweight,Striker,Brazil
Lightweight,Kickboxer,Georgia
Lightweight,MMA,United States
Lightweight,Jiu-Jitsu,United States
Lightweight,Wrestling,Poland
Lightweight,Wrestler,United States
Lightweight,MMA,Iran
Lightweight,Muay Thai,Kyrgyzstan
Lightweight,Jiu-Jitsu,Brazil
Lightweight,MMA,New Zealand
Lightweight,MMA,United States
Lightweight,MMA,France
Lightweight,Grappler,Brazil
Lightweight,MMA,United States
Middleweight,Freestyle,Nigeria
Welterweight,MMA,United States
Welterweight,Sambo,Uzbekistan
Welterweight,MMA,United States
Welterweight,MMA,Australia
