Transaction ID,Store Location,Date,Time,Customer ID,Product ID,Product Name,Quantity,Cost,Price
TXN-0001,Store 1,2019-09-11,22:9,24786,1390,Product 1390,1,33.73,58.45
TXN-0002,Store 1,2019-09-08,12:23,81841,1137,Product 1137,8,48.06,75.34
TXN-0003,Store 1,2019-09-09,20:19,95392,1789,Product 1789,9,26.87,62.38
TXN-0004,Store 1,2019-09-11,20:17,21067,1630,Product 1630,5,10.33,19.14
TXN-0005,Store 1,2019-09-08,15:2,24572,1839,Product 1839,9,44.18,117.2
TXN-0006,Store 1,2019-09-05,15:42,76286,1224,Product 1224,1,33.29,80.16
TXN-0007,Store 1,2019-09-08,11:24,52726,1270,Product 1270,2,30.61,80.17
TXN-0008,Store 1,2019-09-11,11:1,87426,1763,Product 1763,4,49.78,147.93
TXN-0009,Store 1,2019-09-07,14:54,38979,1932,Product 1932,6,15.03,37.73
TXN-0010,Store 1,2019-09-06,12:26,27221,1153,Product 1153,8,46.3,106.98
TXN-0011,Store 1,2019-09-07,13:24,11112,1977,Product 1977,10,43.57,66.14
TXN-0012,Store 1,2019-09-08,19:55,83408,1123,Product 1123,3,33.94,95.16
TXN-0013,Store 1,2019-09-07,18:37,59432,1682,Product 1682,8,22.63,34.13
TXN-0014,Store 1,2019-09-05,11:19,46365,1744,Product 1744,7,9.27,25.3
TXN-0015,Store 1,2019-09-11,19:22,84020,1032,Product 1032,2,25.3,66.17
TXN-0016,Store 1,2019-09-05,17:17,23747,1512,Product 1512,10,28.99,54.96
TXN-0017,Store 1,2019-09-11,18:19,85361,1664,Product 1664,2,38.0,96.49
TXN-0018,Store 1,2019-09-05,14:2,71015,1063,Product 1063,10,35.06,72.43
TXN-0019,Store 1,2019-09-05,16:45,70069,1937,Product 1937,7,43.47,102.34
TXN-0020,Store 1,2019-09-08,16:44,74380,1202,Product 1202,5,27.14,47.56
TXN-0021,Store 1,2019-09-05,21:43,64313,1388,Product 1388,6,47.8,117.45
TXN-0022,Store 1,2019-09-11,20:4,32211,1945,Product 1945,9,29.42,66.29
TXN-0023,Store 1,2019-09-07,21:42,32449,1941,Product 1941,8,8.27,20.82
TXN-0024,Store 1,2019-09-05,23:6,73345,1831,Product 1831,5,38.63,97.18
TXN-0025,Store 1,2019-09-08,18:42,13686,1066,Product 1066,3,31.19,75.09
TXN-0026,Store 1,2019-09-07,16:14,64621,1652,Product 1652,10,41.19,103.89
TXN-0027,Store 1,2019-09-08,20:52,18404,1004,Product 1004,2,17.17,29.6
TXN-0028,Store 1,2019-09-11,22:10,90710,1709,Product 1709,2,30.15,82.64
TXN-0029,Store 1,2019-09-09,19:46,17877,1007,Product 1007,3,26.62,43.23
TXN-0030,Store 1,2019-09-05,17:34,74056,1762,Product 1762,8,27.74,70.52
TXN-0031,Store 1,2019-09-11,22:6,79066,1369,Product 1369,3,36.5,107.18
TXN-0032,Store 1,2019-09-10,13:20,46687,1534,Product 1534,10,29.96,48.59
TXN-0033,Store 1,2019-09-08,23:45,53830,1490,Product 1490,7,23.04,44.41
TXN-0034,Store 1,2019-09-10,17:50,59937,1699,Product 1699,2,15.18,43.46
TXN-0035,Store 1,2019-09-06,10:9,20131,1624,Product 1624,10,12.66,22.44
TXN-0036,Store 1,2019-09-08,17:53,25230,1685,Product 1685,3,11.17,20.36
TXN-0037,Store 1,2019-09-10,18:10,70215,1533,Product 1533,8,20.07,41.95
TXN-0038,Store 1,2019-09-07,20:14,46709,1816,Product 1816,5,36.73,84.71
TXN-0039,Store 1,2019-09-09,12:23,46945,1240,Product 1240,6,49.83,141.3
TXN-0040,Store 1,2019-09-08,16:13,41483,1616,Product 1616,1,34.74,98.79
TXN-0041,Store 1,2019-09-07,12:3,92780,1839,Product 1839,7,30.46,73.45
TXN-0042,Store 1,2019-09-08,12:39,31049,1126,Product 1126,9,44.67,103.41
TXN-0043,Store 1,2019-09-10,17:5,53594,1138,Product 1138,3,13.9,33.87
TXN-0044,Store 1,2019-09-07,21:0,83985,1017,Product 1017,9,26.86,62.25
TXN-0045,Store 1,2019-09-09,14:2,62081,1026,Product 1026,2,45.52,87.82
TXN-0046,Store 1,2019-09-07,11:29,13110,1647,Product 1647,10,36.63,100.21
TXN-0047,Store 1,2019-09-07,23:11,83488,1446,Product 1446,3,36.08,86.89
TXN-0048,Store 1,2019-09-09,22:52,96186,1393,Product 1393,1,41.75,92.01
TXN-0049,Store 1,2019-09-05,19:43,37808,1125,Product 1125,3,5.81,11.87
TXN-0050,Store 1,2019-09-06,16:6,54310,1840,Product 1840,2,9.04,22.26
TXN-0051,Store 1,2019-09-11,18:33,99215,1779,Product 1779,4,14.16,40.97
TXN-0052,Store 1,2019-09-09,15:17,67189,1509,Product 1509,2,11.52,30.12
TXN-0053,Store 1,2019-09-10,13:24,44513,1091,Product 1091,1,27.02,55.26
TXN-0054,Store 1,2019-09-11,14:30,49638,1704,Product 1704,6,34.95,69.84
TXN-0055,Store 1,2019-09-09,23:33,77343,1074,Product 1074,2,47.59,140.15
TXN-0056,Store 1,2019-09-11,15:40,34883,1940,Product 1940,8,7.71,15.03
TXN-0057,Store 1,2019-09-11,22:47,25486,1324,Product 1324,4,35.15,60.53
TXN-0058,Store 1,2019-09-06,23:4,25849,1799,Product 1799,10,23.81,38.32
TXN-0059,Store 1,2019-09-07,21:31,86821,1356,Product 1356,2,30.27,89.86
TXN-0060,Store 1,2019-09-11,16:54,97835,1892,Product 1892,2,25.58,51.24
TXN-0061,Store 1,2019-09-09,14:41,61731,1499,Product 1499,7,32.96,74.8
TXN-0062,Store 1,2019-09-06,15:50,97910,1985,Product 1985,7,28.6,85.73
TXN-0063,Store 1,2019-09-07,16:43,61464,1628,Product 1628,7,41.35,93.75
TXN-0064,Store 1,2019-09-09,18:54,13766,1337,Product 1337,1,22.59,59.64
TXN-0065,Store 1,2019-09-08,15:4,65668,1340,Product 1340,6,47.88,138.8
TXN-0066,Store 1,2019-09-09,21:10,17319,1615,Product 1615,4,20.13,50.66
TXN-0067,Store 1,2019-09-07,12:59,70269,1564,Product 1564,9,30.13,48.35
TXN-0068,Store 1,2019-09-07,17:37,35270,1699,Product 1699,8,28.2,71.08
TXN-0069,Store 1,2019-09-05,21:26,49943,1104,Product 1104,8,17.46,26.56
TXN-0070,Store 1,2019-09-05,19:15,58684,1644,Product 1644,8,46.83,113.02
TXN-0071,Store 1,2019-09-10,20:56,36555,1544,Product 1544,4,7.68,11.69
